Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
zombieBurntKhz,entityclasses,Entity,,,Burnt Zombie Man,,Verbrannter Zombie-Mann,Hombre quemado zombie,Zombie brûlé,Burt Zombie Man.,泥沼の男を燃やす,번트 좀비 맨,Burnt Zombie Man.,Homem de zumbi queimado,Сгоревший зомби человек,Yanmış zombi adam,烧焦僵尸人,燒焦殭屍人,Hombre quemado zombie
zombieBusinessmanKhz,entityclasses,Entity,,,Zombie Businessman,,Zombie-Geschäftsmann.,Empresario zombie,Zombie Homme d'affaires,Zombie Businessman.,ゾンビの実業家,좀비 사업가,Zombie Biznesmen,Empresário zumbi.,Зомби Бизнесмен,Zombi işadamı,僵尸商人,殭屍商人,Empresario zombie
zombieBusinesswomanKhz,entityclasses,Entity,,,Zombie Businesswoman,,Zombiegeschäftsfrau,Empresaria zombie,Femme d'affaires zombie,Zombie Imprenditrice,ゾンビの実業家,좀비 사업가,Zombie Businesswoman.,Empresária zumbi.,Зомби предприниматель,Zombi işkadını,僵尸女商人,殭屍女商人,Empresaria zombie
zombieCowgirlKhz,entityclasses,Entity,,,Zombie Cowgirl,,Zombie Cowgirl.,Zombie vaquera,Zombie cowgirl,Zombie Cowgirl.,ゾンビ・カウガール,좀비 카우걸,Zombie Cowgirl.,Cowgirl zumbi.,Zombie Cowgirl.,Zombi cowgirl,僵尸女牛仔,殭屍女牛仔,Zombie vaquera
zombieFemaleKhz,entityclasses,Entity,,,Zombie Woman,,Zombie-Frau.,Mujer zombie,Femme zombie,Donna zombie,ゾンビの女性,좀비 여자,Zombie kobieta,Mulher zumbi.,Зомби женщина,Zombi kadın,僵尸女人,殭屍女人,Mujer zombie
zombieFemaleLumberjackKhz,entityclasses,Entity,,,Zombie Female Lumberjack,,Zombie-weiblicher Holzfäller,Zombie femenino leñador,Zombie femelle bûcherjack,Zombie femminile Boscaiolo,ゾンビの女性の木こり,좀비 여성 등심,Zombie Kobieta Lumberjack.,Lenhador fêmea do zumbi,Зомби женский дровосек,Zombi dişi oduncu,僵尸女伐木工人,殭屍女伐木工人,Zombie femenino leñador
zombieFemaleOfficeKhz,entityclasses,Entity,,,Zombie Female Office Worker,,Zombie weiblicher Büroangestellter,Oficina de Zombie,Ouvrier de bureau femme zombie,Ufficio femminile Zombie,ゾンビの女性オフィスワーカー,좀비 여성 회사원,Zombie żeński pracownik biurowy,Trabalhador de escritório feminino zumbi,Zombie женский офисный работник,Zombi kadın ofis çalışanı,僵尸女性办公室工作者,殭屍女性辦公室工作者,Oficina de Zombie
zombieFemaleStripperKhz,entityclasses,Entity,,,Zombie Female Stripper,,Zombie-Weiblicher Stripper.,Stripper femenino zombie,Zombie Stripper,Zombie femmina stripper.,ゾンビの女性のストリッパー,좀비 여성 스트리퍼,Zombie Samica Stripper.,Stripper feminino zumbi,Zombie женская стриптизерша,Zombi dişi striptizci,僵尸女剥削者,殭屍女剝削者,Stripper femenino zombie
zombieFirefighterKhz,entityclasses,Entity,,,Zombie Firefighter,,Zombie-Feuerwehrmann.,Bombero zombi,Pompier zombie,Pompiere Zombie,ゾンビ消防士,좀비 소방관,Zombie Strażak,Bombeiro zumbi,Зомби пожарный,Zombi itfaiyeci,僵尸消防员,殭屍消防員,Bombero zombi
zombieMaleKhz,entityclasses,Entity,,,Zombie Man,,Zombie-Mann,Hombre zombie,Zombie,Zombie Man.,ゾンビマン,좀비 맨,Człowiek Zombie.,Homem zumbi.,Zombie Man.,Zombi adam,僵尸人,殭屍人,Hombre zombie
zombiePolicewomanKhz,entityclasses,Entity,,,Zombie Policewoman,,Zombie-Polizistin.,Zombie policía policía,Zombie Bureau,Poliziotta Zombie.,ゾンビポリクロマン,좀비 경찰,Zombie Policewoman.,Policial zumbi,Зомби полицейская женщина,Zombi polis memuru,僵尸女强人,殭屍女強人,Zombie policía policía
